iter	Passed	Remaining
0	1	315
1	1	241
2	2	213
3	2	198
4	3	187
5	3	183
6	4	179
7	4	177
8	5	174
9	6	175
10	7	201
11	8	198
12	8	194
13	9	190
14	9	188
15	10	187
16	11	185
17	11	182
18	12	180
19	12	179
20	13	178
21	14	177
22	14	176
23	15	174
24	15	173
25	16	172
26	16	170
27	17	170
28	18	169
29	18	167
30	19	166
31	19	165
32	20	164
33	20	162
34	21	164
35	22	165
36	23	163
37	23	163
38	24	164
39	25	166
40	26	166
41	27	167
42	28	167
43	28	166
44	29	165
45	29	164
46	30	163
47	30	161
48	31	160
49	31	159
50	32	158
51	32	156
52	33	155
53	33	154
54	34	153
55	35	152
56	35	151
57	37	154
58	37	154
59	38	154
60	39	153
61	39	152
62	40	152
63	41	152
64	42	152
65	42	152
66	43	151
67	45	153
68	45	153
69	46	152
70	47	153
71	48	152
72	48	151
73	49	150
74	49	149
75	50	148
76	51	148
77	51	147
78	52	147
79	53	146
80	54	146
81	54	145
82	55	144
83	55	143
84	56	142
85	56	141
86	57	140
87	57	139
88	58	138
89	59	137
90	59	136
91	60	135
92	60	134
93	61	134
94	61	133
95	62	132
96	62	131
97	63	130
98	63	129
99	64	128
100	64	127
101	65	127
102	66	127
103	67	127
104	67	126
105	68	125
106	69	124
107	69	123
108	70	122
109	70	121
110	71	121
111	71	120
112	72	119
113	72	118
114	73	117
115	73	117
116	74	116
117	74	115
118	75	114
119	75	113
120	76	113
121	77	112
122	77	111
123	78	110
124	78	110
125	79	109
126	79	108
127	80	107
128	81	107
129	82	107
130	82	106
131	83	105
132	83	105
133	84	104
134	84	103
135	85	102
136	85	102
137	86	101
138	86	100
139	87	100
140	88	99
141	88	98
142	89	97
143	89	97
144	90	96
145	90	95
146	91	95
147	91	94
148	92	93
149	93	93
150	93	92
151	94	91
152	94	91
153	95	90
154	95	89
155	96	89
156	97	88
157	97	87
158	98	87
159	98	86
160	99	85
161	100	85
162	100	84
163	101	83
164	101	83
165	102	82
166	102	81
167	103	81
168	104	80
169	104	80
170	105	79
171	105	78
172	106	78
173	106	77
174	107	76
175	107	76
176	108	75
177	108	74
178	109	73
179	109	73
180	111	73
181	112	72
182	112	72
183	113	71
184	113	70
185	114	70
186	115	69
187	115	68
188	116	68
189	116	67
190	117	66
191	117	66
192	118	65
193	118	65
194	119	64
195	119	63
196	120	63
197	121	62
198	121	61
199	122	61
200	122	60
201	123	59
202	123	59
203	124	58
204	124	57
205	126	57
206	127	57
207	127	56
208	128	55
209	128	55
210	129	54
211	129	53
212	130	53
213	131	52
214	131	52
215	132	51
216	132	50
217	133	50
218	134	49
219	134	48
220	135	48
221	135	47
222	136	46
223	136	46
224	137	45
225	137	45
226	138	44
227	138	43
228	139	43
229	139	42
230	140	41
231	141	41
232	141	40
233	142	40
234	142	39
235	143	38
236	144	38
237	144	37
238	145	37
239	145	36
240	146	35
241	146	35
242	147	34
243	147	33
244	148	33
245	148	32
246	149	32
247	149	31
248	150	30
249	150	30
250	151	29
251	152	28
252	152	28
253	153	27
254	153	27
255	154	26
256	154	25
257	155	25
258	156	24
259	156	24
260	157	23
261	157	22
262	158	22
263	158	21
264	159	21
265	159	20
266	160	19
267	160	19
268	161	18
269	161	17
270	162	17
271	163	16
272	163	16
273	164	15
274	164	14
275	165	14
276	165	13
277	166	13
278	166	12
279	167	11
280	167	11
281	168	10
282	169	10
283	169	9
284	170	8
285	171	8
286	172	7
287	172	7
288	173	6
289	173	5
290	174	5
291	174	4
292	175	4
293	175	3
294	176	2
295	176	2
296	177	1
297	177	1
298	178	0
299	179	0
