iter	Passed	Remaining
0	1	480
1	3	548
2	5	558
3	7	556
4	9	559
5	11	545
6	12	529
7	14	545
8	17	562
9	19	569
10	21	566
11	23	568
12	25	569
13	27	565
14	29	562
15	31	557
16	33	563
17	36	571
18	38	566
19	40	563
20	41	557
21	43	553
22	45	551
23	47	548
24	49	546
25	51	543
26	53	540
27	55	536
28	57	533
29	59	534
30	61	530
31	62	526
32	64	523
33	66	522
34	68	519
35	70	516
36	72	516
37	74	515
38	78	527
39	82	533
40	84	533
41	86	530
42	88	530
43	90	526
44	92	523
45	94	519
46	95	516
47	97	514
48	100	512
49	102	512
50	105	514
51	107	513
52	109	510
53	111	506
54	113	506
55	116	505
56	117	502
57	119	499
58	121	497
59	123	494
60	125	491
61	127	489
62	129	488
63	131	485
64	133	482
65	135	480
66	137	478
67	139	475
68	141	472
69	143	470
70	145	469
71	147	466
72	149	463
73	150	460
74	152	458
75	154	455
76	156	452
77	158	449
78	160	448
79	162	446
80	164	443
81	165	440
82	167	438
83	169	435
84	171	433
85	172	430
86	174	428
87	176	426
88	178	423
89	180	421
90	182	418
91	184	416
92	185	413
93	187	411
94	189	408
95	191	407
96	193	405
97	195	402
98	197	400
99	198	397
100	200	395
101	202	392
102	204	390
103	206	388
104	208	386
105	210	384
106	212	383
107	214	381
108	216	379
109	218	377
110	220	374
111	222	372
112	224	371
113	226	368
114	227	366
115	229	363
116	231	361
117	233	359
118	234	357
119	236	355
120	239	353
121	240	351
122	242	349
123	244	346
124	246	344
125	247	342
126	249	340
127	251	338
128	254	337
129	256	335
130	258	332
131	260	330
132	262	329
133	264	327
134	266	325
135	268	324
136	271	322
137	272	320
138	274	317
139	276	315
140	278	313
141	279	311
142	281	309
143	283	307
144	285	304
145	287	303
146	289	300
147	290	298
148	292	296
149	294	294
150	296	292
151	298	290
152	299	288
153	302	286
154	304	284
155	306	282
156	308	280
157	310	278
158	312	276
159	314	274
160	316	273
161	318	271
162	321	270
163	323	268
164	325	266
165	327	264
166	329	262
167	332	260
168	333	258
169	335	256
170	337	254
171	339	252
172	341	250
173	343	248
174	345	246
175	347	244
176	349	242
177	351	240
178	353	238
179	355	236
180	357	234
181	358	232
182	360	230
183	363	228
184	364	226
185	366	224
186	368	222
187	370	220
188	371	218
189	373	216
190	375	214
191	377	212
192	379	210
193	381	208
194	383	206
195	385	204
196	387	202
197	389	200
198	390	198
199	392	196
200	394	194
201	397	192
202	398	190
203	400	188
204	402	186
205	404	184
206	405	182
207	407	180
208	409	178
209	411	176
210	413	174
211	415	172
212	417	170
213	418	168
214	420	166
215	422	164
216	423	162
217	426	160
218	428	158
219	429	156
220	431	154
221	433	152
222	435	150
223	437	148
224	438	146
225	440	144
226	442	142
227	444	140
228	446	138
229	448	136
230	450	134
231	452	132
232	453	130
233	455	128
234	457	126
235	459	124
236	462	122
237	463	120
238	465	118
239	467	116
240	469	115
241	471	113
242	474	111
243	476	109
244	478	107
245	480	105
246	482	103
247	484	101
248	486	99
249	488	97
250	490	95
251	492	93
252	494	91
253	496	89
254	498	87
255	500	85
256	502	84
257	504	82
258	506	80
259	508	78
260	510	76
261	512	74
262	513	72
263	515	70
264	516	68
265	519	66
266	520	64
267	522	62
268	524	60
269	526	58
270	528	56
271	530	54
272	532	52
273	535	50
274	537	48
275	539	46
276	541	44
277	543	42
278	545	41
279	547	39
280	549	37
281	551	35
282	553	33
283	554	31
284	556	29
285	559	27
286	561	25
287	563	23
288	566	21
289	568	19
290	570	17
291	572	15
292	574	13
293	576	11
294	579	9
295	581	7
296	583	5
297	585	3
298	587	1
299	588	0
